2022-06-14 10:12:31 DEBUG logging:112 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2022-06-14 10:12:31 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-06-14 10:12:31 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2022-06-14 10:12:31 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-06-14 10:12:31 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2022-06-14 10:12:31 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2022-06-14 10:12:31 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2022-06-14 10:12:31 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2022-06-14 10:12:31 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2022-06-16 00:24:00 DEBUG logging:112 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2022-06-16 00:24:00 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2022-06-16 00:24:00 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2022-06-16 00:24:00 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2022-06-16 00:24:00 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2022-06-16 00:24:00 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2022-06-16 00:24:00 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2022-06-16 00:24:00 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2022-06-16 00:24:00 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2022-06-16 00:24:00 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2022-06-16 00:24:00 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2022-06-16 00:24:00 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2022-06-16 00:24:00 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6d3a388c
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6d3a388c
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6d3a388c
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2fd1433e
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@212b5695
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@793be5ca
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@4de4b452
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@4de4b452
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4de4b452
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@7ea9e1e2
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@7ea9e1e2
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7ea9e1e2
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@4d02f94e
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@4d02f94e
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@4d02f94e
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration integer -> org.hibernate.type.IntegerType@14555e0a
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration int -> org.hibernate.type.IntegerType@14555e0a
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@14555e0a
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@6f46426d
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration long -> org.hibernate.type.LongType@6f46426d
2022-06-16 00:24:01 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@6f46426d
